datetime,close,high,low,open,volume
2017-11-03,19950.0,20000.0,19550.0,19750.0,106394.0
2017-11-02,19500.0,20000.0,18900.0,19800.0,153456.0
2017-11-01,19550.0,20450.0,19450.0,20350.0,285420.0
2017-10-31,20250.0,21100.0,19600.0,21000.0,390353.0
2017-10-30,20500.0,20500.0,19150.0,19250.0,533598.0
2017-10-27,18600.0,19650.0,18550.0,19350.0,311216.0
2017-10-26,18800.0,19100.0,17200.0,17400.0,422364.0
2017-10-25,17200.0,18200.0,17100.0,17100.0,232750.0
2017-10-24,16950.0,17100.0,16400.0,16650.0,75442.0
2017-10-23,16700.0,17100.0,16700.0,16950.0,88246.0
2017-10-20,17200.0,17200.0,16450.0,16450.0,126272.0
2017-10-19,16600.0,17300.0,16300.0,17100.0,141880.0
2017-10-18,16850.0,17600.0,16650.0,16950.0,165896.0
2017-10-17,17300.0,18250.0,17100.0,18200.0,262699.0
2017-10-16,18000.0,19050.0,16150.0,16500.0,848275.0
2017-10-13,16100.0,16400.0,15500.0,15950.0,170366.0
2017-10-12,15950.0,16150.0,15000.0,15050.0,279600.0
2017-10-11,15050.0,15250.0,14800.0,14900.0,93770.0
2017-10-10,15000.0,15750.0,14800.0,15650.0,170141.0
2017-09-29,15900.0,16050.0,14800.0,15100.0,277031.0
2017-09-28,15150.0,15400.0,14400.0,14700.0,210531.0
2017-09-27,15300.0,15450.0,14750.0,14950.0,223481.0
2017-09-26,14850.0,15100.0,14300.0,14400.0,166296.0
2017-09-25,14350.0,15000.0,14150.0,14850.0,127235.0
2017-09-22,14950.0,15400.0,14850.0,15300.0,87168.0
2017-09-21,15250.0,16100.0,15100.0,15650.0,207910.0
2017-09-20,15600.0,16000.0,15600.0,15700.0,114803.0
2017-09-19,15600.0,15800.0,15500.0,15500.0,95223.0
2017-09-18,15500.0,15700.0,15350.0,15600.0,137881.0
2017-09-15,15500.0,16200.0,15500.0,16200.0,169756.0
2017-09-14,16350.0,16350.0,15750.0,16050.0,144725.0
2017-09-13,16150.0,16850.0,16050.0,16700.0,131045.0
2017-09-12,16700.0,17050.0,16400.0,16400.0,191122.0
2017-09-11,16350.0,16850.0,16300.0,16600.0,161114.0
2017-09-08,16650.0,17650.0,16600.0,17450.0,300872.0
2017-09-07,17800.0,18400.0,17250.0,17250.0,570441.0
2017-09-06,20250.0,20850.0,20200.0,20300.0,46305.0
2017-09-05,20500.0,21100.0,20300.0,20800.0,54619.0
2017-09-04,20900.0,21450.0,20700.0,21150.0,50101.0
2017-09-01,21350.0,21950.0,21250.0,21800.0,47130.0
2017-08-31,21750.0,21950.0,21700.0,21700.0,38489.0
2017-08-30,21650.0,22350.0,21650.0,22250.0,65407.0
2017-08-29,22100.0,22650.0,21800.0,22500.0,32800.0
2017-08-28,22450.0,22500.0,22000.0,22000.0,21808.0
2017-08-25,22200.0,22250.0,21750.0,22250.0,18564.0
2017-08-24,22100.0,22400.0,21650.0,21650.0,47647.0
2017-08-23,21750.0,21900.0,21600.0,21700.0,26718.0
2017-08-22,21700.0,22250.0,21650.0,21950.0,35631.0
2017-08-21,22000.0,22200.0,21750.0,21850.0,31282.0
2017-08-18,21850.0,22350.0,21750.0,21900.0,41316.0
2017-08-17,21900.0,22200.0,21700.0,22050.0,66662.0
2017-08-16,22250.0,22450.0,21800.0,22350.0,62263.0
2017-08-14,22550.0,22850.0,21900.0,22000.0,43369.0
2017-08-11,22200.0,22600.0,22050.0,22050.0,32372.0
2017-08-10,22650.0,22800.0,22150.0,22300.0,33948.0
2017-08-09,22600.0,22650.0,21800.0,21800.0,56567.0
2017-08-08,21900.0,22550.0,21700.0,22050.0,50814.0
2017-08-07,22100.0,22300.0,21850.0,21950.0,29948.0
2017-08-04,21950.0,22400.0,21550.0,21700.0,49028.0
2017-08-03,21900.0,22800.0,21850.0,22450.0,62403.0
2017-08-02,22650.0,22750.0,22450.0,22700.0,46162.0
2017-08-01,22750.0,22900.0,22200.0,22200.0,42426.0
2017-07-31,22550.0,23850.0,22450.0,23650.0,80571.0
2017-07-28,23650.0,24000.0,23450.0,23600.0,46286.0
2017-07-27,23800.0,23950.0,23450.0,23500.0,23434.0
2017-07-26,23700.0,24200.0,23400.0,23400.0,50776.0
2017-07-25,23450.0,23700.0,23200.0,23300.0,28141.0
2017-07-24,23400.0,23500.0,23200.0,23400.0,41593.0
2017-07-21,23500.0,23950.0,23500.0,23900.0,43360.0
2017-07-20,23900.0,24550.0,23800.0,24550.0,72796.0
2017-07-19,24500.0,24600.0,23200.0,23200.0,95238.0
2017-07-18,23300.0,23700.0,23100.0,23450.0,80509.0
2017-07-17,23250.0,24000.0,23250.0,23450.0,75445.0
2017-07-14,23350.0,23750.0,23150.0,23550.0,78773.0
2017-07-13,23700.0,24650.0,23550.0,24650.0,149821.0
2017-07-12,24650.0,25100.0,24600.0,24900.0,71456.0
2017-07-11,25000.0,25450.0,24850.0,25200.0,66625.0
2017-07-10,25250.0,25850.0,25200.0,25600.0,48020.0
2017-07-07,25850.0,26050.0,25500.0,25700.0,52778.0
2017-07-06,25700.0,25900.0,25150.0,25550.0,55990.0
2017-07-05,25550.0,26100.0,25550.0,25900.0,40329.0
2017-07-04,25950.0,26500.0,25900.0,26500.0,36919.0
2017-07-03,26200.0,26850.0,25850.0,26150.0,55199.0
2017-06-30,25800.0,26350.0,25800.0,26100.0,44548.0
2017-06-29,26300.0,26550.0,25900.0,26550.0,48334.0
2017-06-28,26300.0,26600.0,26100.0,26100.0,37627.0
2017-06-27,26000.0,26450.0,25650.0,25750.0,52246.0
2017-06-26,25900.0,26650.0,25850.0,26600.0,42207.0
2017-06-23,26550.0,26950.0,25700.0,25750.0,102149.0
2017-06-22,25450.0,25650.0,25400.0,25600.0,43966.0
2017-06-21,25600.0,26150.0,25600.0,25600.0,42836.0
2017-06-20,25750.0,26350.0,25700.0,26150.0,96963.0
2017-06-19,26350.0,27150.0,26250.0,27000.0,111894.0
2017-06-16,27400.0,27400.0,25600.0,25700.0,217028.0
2017-06-15,25700.0,26250.0,25600.0,25600.0,61806.0
2017-06-14,25600.0,25850.0,25450.0,25800.0,48913.0
2017-06-13,25850.0,26050.0,25550.0,25900.0,49957.0
2017-06-12,25900.0,26000.0,25100.0,26000.0,106311.0
2017-06-09,26050.0,26600.0,25950.0,26550.0,105542.0
2017-06-08,26600.0,26600.0,26000.0,26150.0,129934.0
2017-06-07,26200.0,26450.0,26000.0,26050.0,64235.0
2017-06-05,26050.0,26650.0,26000.0,26500.0,96139.0
2017-06-02,26650.0,26750.0,26150.0,26300.0,75995.0
2017-06-01,26250.0,26650.0,26000.0,26650.0,67998.0
2017-05-31,26550.0,26600.0,25800.0,26450.0,125170.0
2017-05-30,26450.0,26700.0,26150.0,26250.0,70515.0
2017-05-29,26400.0,27000.0,26000.0,27000.0,139076.0
2017-05-26,27000.0,27750.0,26850.0,27450.0,137985.0
2017-05-25,27650.0,28500.0,27150.0,28150.0,134349.0
2017-05-24,28150.0,28300.0,27550.0,28150.0,87833.0
2017-05-23,28100.0,29100.0,28000.0,28800.0,163181.0
2017-05-22,29100.0,29250.0,28800.0,29200.0,111414.0
2017-05-19,29200.0,29350.0,28600.0,29300.0,197526.0
2017-05-18,29350.0,29400.0,29250.0,29300.0,443682.0
2017-05-17,29250.0,29300.0,29200.0,29250.0,336417.0
2017-05-16,29250.0,29250.0,29200.0,29200.0,310410.0
2017-05-15,29200.0,29250.0,29200.0,29200.0,141190.0
2017-05-12,29200.0,29350.0,29200.0,29300.0,262315.0
2017-05-11,29300.0,29350.0,29200.0,29200.0,154557.0
2017-05-10,29200.0,29450.0,29200.0,29350.0,268496.0
2017-05-08,29350.0,29400.0,29200.0,29300.0,217032.0
2017-05-04,29350.0,29450.0,29200.0,29200.0,221934.0
2017-05-02,29150.0,29300.0,29100.0,29200.0,168099.0
2017-04-28,29250.0,29300.0,29050.0,29100.0,216325.0
2017-04-27,29150.0,29200.0,29050.0,29150.0,364331.0
2017-04-26,29100.0,29200.0,29000.0,29050.0,544549.0
2017-04-25,29050.0,29150.0,29000.0,29100.0,707066.0
2017-04-24,29050.0,29500.0,29000.0,29150.0,1530506.0
2017-04-21,28300.0,28350.0,26650.0,27450.0,787627.0
2017-04-20,27150.0,27250.0,26100.0,26400.0,479079.0
2017-04-19,26200.0,26400.0,24200.0,24200.0,801837.0
2017-04-18,24100.0,24800.0,24050.0,24750.0,216184.0
2017-04-17,24750.0,24950.0,23950.0,24450.0,273967.0
2017-04-14,24600.0,24800.0,24350.0,24550.0,173215.0
2017-04-13,24400.0,24600.0,23850.0,24000.0,121650.0
2017-04-12,24050.0,24100.0,23650.0,24000.0,61082.0
2017-04-11,24150.0,24250.0,23400.0,23550.0,95734.0
2017-04-10,23550.0,24350.0,23450.0,24250.0,133215.0
2017-04-07,24750.0,25050.0,24150.0,24250.0,131057.0
2017-04-06,24350.0,24850.0,24100.0,24700.0,134385.0
2017-04-05,24850.0,25550.0,24200.0,24200.0,319799.0
2017-04-04,24200.0,25050.0,24200.0,25050.0,195639.0
2017-04-03,25150.0,25350.0,24450.0,24900.0,191739.0
2017-03-31,24600.0,25150.0,24350.0,24500.0,156625.0
2017-03-30,24850.0,25200.0,24250.0,25100.0,175294.0
2017-03-29,25100.0,25550.0,24800.0,25400.0,255090.0
2017-03-28,25300.0,25450.0,23900.0,24150.0,451655.0
2017-03-27,24100.0,24300.0,23600.0,23950.0,340699.0
2017-03-24,23800.0,24000.0,21950.0,21950.0,950508.0
2017-03-23,21700.0,22100.0,21450.0,22000.0,61089.0
2017-03-22,21650.0,21950.0,21300.0,21300.0,124462.0
2017-03-21,21300.0,22000.0,21200.0,22000.0,116082.0
2017-03-20,21900.0,22050.0,21350.0,21900.0,82515.0
2017-03-17,21900.0,22000.0,20900.0,20900.0,189756.0
2017-03-16,21100.0,21250.0,20650.0,20800.0,82555.0
2017-03-15,20550.0,20950.0,20350.0,20850.0,69233.0
2017-03-14,20950.0,21800.0,20800.0,21800.0,133915.0
2017-03-13,21650.0,21950.0,20500.0,20550.0,252673.0
2017-03-10,20500.0,20950.0,19950.0,20550.0,136581.0
2017-03-09,20250.0,21100.0,20150.0,20250.0,142019.0
2017-03-08,20050.0,20300.0,19800.0,20300.0,68778.0
2017-03-07,20200.0,20500.0,19900.0,20250.0,85775.0
2017-03-06,20300.0,20500.0,19400.0,20000.0,162282.0
2017-03-03,20400.0,21150.0,20150.0,21100.0,268618.0
2017-03-02,21600.0,22100.0,21400.0,21850.0,166589.0
2017-02-28,22100.0,22600.0,22050.0,22450.0,73166.0
2017-02-27,22650.0,22700.0,21900.0,22700.0,143175.0
2017-02-24,22500.0,22750.0,21900.0,22300.0,196456.0
2017-02-23,22150.0,22700.0,22000.0,22150.0,128871.0
2017-02-22,22100.0,22200.0,21600.0,22100.0,124340.0
2017-02-21,21950.0,22350.0,21750.0,22050.0,144401.0
2017-02-20,22250.0,22350.0,21600.0,21700.0,324190.0
2017-02-17,21700.0,21800.0,19650.0,19900.0,515808.0
2017-02-16,19900.0,20300.0,19500.0,20150.0,79318.0
2017-02-15,20150.0,20750.0,19500.0,19550.0,203113.0
2017-02-14,19550.0,19550.0,19000.0,19100.0,88478.0
2017-02-13,19200.0,19250.0,18600.0,18700.0,87592.0
2017-02-10,18550.0,18800.0,18400.0,18750.0,38813.0
2017-02-09,18550.0,18650.0,18250.0,18400.0,29591.0
2017-02-08,18550.0,18800.0,18450.0,18650.0,38698.0
2017-02-07,18750.0,18800.0,18500.0,18550.0,48863.0
2017-02-06,18600.0,18700.0,18250.0,18400.0,26492.0
2017-02-03,18300.0,18550.0,18200.0,18500.0,49470.0
2017-02-02,18350.0,18800.0,18350.0,18550.0,48956.0
2017-02-01,18600.0,18700.0,18400.0,18500.0,41020.0
2017-01-31,18650.0,18850.0,18400.0,18400.0,45603.0
2017-01-26,18400.0,18850.0,18200.0,18650.0,99028.0
2017-01-25,18800.0,19350.0,18800.0,19150.0,57023.0
2017-01-24,19250.0,19250.0,18850.0,18850.0,64280.0
2017-01-23,18850.0,19350.0,18800.0,19150.0,86062.0
2017-01-20,19400.0,19500.0,19200.0,19300.0,38728.0
2017-01-19,19300.0,19800.0,19300.0,19700.0,67514.0
2017-01-18,19800.0,19950.0,19500.0,19500.0,43452.0
2017-01-17,19600.0,20100.0,19550.0,20000.0,52479.0
2017-01-16,19800.0,20000.0,19300.0,19750.0,56940.0
2017-01-13,19550.0,20150.0,19300.0,19600.0,84800.0
2017-01-12,19500.0,19550.0,19200.0,19450.0,43063.0
2017-01-11,19400.0,19550.0,18850.0,19000.0,110361.0
2017-01-10,19100.0,19550.0,19050.0,19250.0,77567.0
2017-01-09,19450.0,20000.0,19200.0,19950.0,125727.0
2017-01-06,20050.0,20300.0,20000.0,20300.0,49083.0
2017-01-05,20300.0,20400.0,19900.0,20100.0,55568.0
2017-01-04,20050.0,20500.0,20000.0,20400.0,62967.0
2017-01-03,20500.0,20600.0,19850.0,19900.0,112083.0
2017-01-02,19800.0,20450.0,19750.0,20350.0,98352.0
2016-12-29,20700.0,21200.0,20600.0,21200.0,87125.0
2016-12-28,21300.0,21450.0,21000.0,21300.0,101002.0
2016-12-27,23250.0,23300.0,22550.0,23000.0,223096.0
2016-12-26,22700.0,22950.0,22400.0,22600.0,189908.0
2016-12-23,22350.0,22350.0,21300.0,21300.0,115977.0
2016-12-22,21450.0,21550.0,21250.0,21450.0,58858.0
2016-12-21,21500.0,21700.0,21200.0,21550.0,83696.0
2016-12-20,21450.0,21700.0,21300.0,21700.0,56238.0
2016-12-19,21550.0,21700.0,21200.0,21350.0,64345.0
2016-12-16,21550.0,21850.0,21150.0,21500.0,125978.0
2016-12-15,21350.0,21400.0,20450.0,20700.0,91017.0
2016-12-14,20750.0,20850.0,20250.0,20600.0,197370.0
2016-12-13,20300.0,20500.0,19700.0,20050.0,127430.0
2016-12-12,20100.0,20350.0,19700.0,20100.0,97367.0
2016-12-09,19950.0,20050.0,19050.0,19100.0,125492.0
2016-12-08,19250.0,19350.0,18800.0,18900.0,79690.0
2016-12-07,18900.0,19550.0,18700.0,19400.0,114277.0
2016-12-06,19400.0,19800.0,19300.0,19550.0,101063.0
2016-12-05,19550.0,19700.0,19100.0,19500.0,85676.0
2016-12-02,19550.0,20250.0,19500.0,20200.0,125389.0
2016-12-01,20200.0,20750.0,20050.0,20600.0,66528.0
2016-11-30,20900.0,20900.0,20250.0,20800.0,91353.0
2016-11-29,20900.0,20950.0,20000.0,20000.0,72205.0
2016-11-28,20250.0,20350.0,19800.0,20050.0,45926.0
2016-11-25,20000.0,20100.0,19300.0,19300.0,72414.0
2016-11-24,19550.0,20450.0,19550.0,20150.0,132372.0
2016-11-23,20200.0,21000.0,20150.0,20750.0,114437.0
2016-11-22,20950.0,21000.0,20150.0,20400.0,116045.0
2016-11-21,20500.0,21500.0,20500.0,21400.0,130870.0
2016-11-18,21750.0,22050.0,21500.0,22050.0,83871.0
2016-11-17,22150.0,22150.0,21800.0,22100.0,57625.0
2016-11-16,22100.0,22150.0,21600.0,21750.0,91672.0
2016-11-15,21600.0,21800.0,21200.0,21800.0,73177.0
2016-11-14,21600.0,21850.0,21450.0,21800.0,65290.0
2016-11-11,21500.0,22000.0,21150.0,21500.0,85862.0
2016-11-10,21600.0,21650.0,20900.0,21050.0,103243.0
2016-11-09,20650.0,21500.0,19850.0,21350.0,271439.0
2016-11-08,21450.0,21450.0,20550.0,21000.0,129280.0
2016-11-07,21000.0,22300.0,20500.0,22100.0,197716.0
2016-11-04,22150.0,22400.0,22000.0,22150.0,56054.0
2016-11-03,22000.0,22400.0,21100.0,21100.0,141225.0
2016-11-02,21400.0,21750.0,20600.0,20750.0,135358.0
2016-11-01,21200.0,21350.0,20550.0,20900.0,76585.0
2016-10-31,20950.0,21700.0,20800.0,21700.0,113942.0
2016-10-28,22000.0,22000.0,21250.0,21250.0,77864.0
2016-10-27,21450.0,21850.0,21200.0,21200.0,91734.0
2016-10-26,21100.0,21350.0,20250.0,20250.0,157344.0
2016-10-25,20600.0,21650.0,20150.0,21500.0,262250.0
2016-10-24,21750.0,22000.0,21500.0,21600.0,82216.0
2016-10-21,21650.0,22250.0,21600.0,22100.0,114372.0
2016-10-20,22100.0,22400.0,22000.0,22050.0,85269.0
