1,10,23,29,33,37,40,16,0,0
2,9,13,21,25,32,42,2,1,2002006800
3,11,16,19,21,27,31,30,1,2000000000
4,14,27,30,31,40,42,2,0,0
5,16,24,29,40,41,42,3,0,0
6,14,15,26,27,40,42,34,1,6574451700
7,2,9,16,25,26,40,42,0,0
8,8,19,25,34,37,39,9,0,0
9,2,4,16,17,36,39,14,0,0
10,9,25,30,33,41,44,6,13,6430437900
11,1,7,36,37,41,42,14,5,4780152300
12,2,11,21,25,39,45,44,12,1348845700
13,22,23,25,37,38,42,26,0,0
14,2,6,12,31,33,40,15,4,9375048300
15,3,4,16,30,31,37,13,1,17014245000
16,6,7,24,37,38,40,33,4,4377146100
17,3,4,9,17,32,37,1,3,5349491200
18,3,12,13,19,32,35,29,0,0
19,6,30,38,39,40,43,26,1,40722959400
20,10,14,18,20,23,30,41,1,19352212800
21,6,12,17,18,31,32,21,23,797475400
22,4,5,6,8,17,39,25,4,4552194900
23,5,13,17,18,33,42,44,4,4317947700
24,7,8,27,29,36,43,6,0,0
25,2,4,21,26,43,44,16,2,24227745300
26,4,5,7,18,20,25,31,5,3495069900
27,1,20,26,28,37,43,27,2,9543982500
28,9,18,23,25,35,37,1,10,1700361100
29,1,5,13,34,39,40,11,5,3552594000
30,8,17,20,35,36,44,4,2,8728555500
31,7,9,18,23,28,35,32,2,8106672900
32,6,14,19,25,34,44,11,10,1634528300
33,4,7,32,33,40,41,9,1,14903517600
34,9,26,35,37,40,42,2,5,3056918000
35,2,3,11,26,37,43,39,3,5054598200
36,1,10,23,26,28,40,31,1,16014475800
37,7,27,30,33,35,37,42,3,4985999400
38,16,17,22,30,37,43,36,3,5374866400
39,6,7,13,15,21,43,8,6,2623748800
40,7,13,18,19,25,26,6,13,1147652400
41,13,20,23,35,38,43,34,0,0
42,17,18,19,21,23,32,1,6,6899280100
43,6,31,35,38,39,44,1,1,17749630800
44,3,11,21,30,38,45,39,5,3362155800
45,1,10,20,27,33,35,17,2,8356417800
46,8,13,15,23,31,38,39,3,5327758800
47,14,17,26,31,36,45,27,5,3250042400
48,6,10,18,26,37,38,3,6,2415673600
49,4,7,16,19,33,40,30,7,1967504600
50,2,10,12,15,22,44,1,3,5227061400
51,2,3,11,16,26,44,35,6,2421117000
52,2,4,15,16,20,29,1,4,3900844900
53,7,8,14,32,33,39,42,3,5014371000
54,1,8,21,27,36,39,37,3,5148626600
55,17,21,31,37,40,44,7,2,7088799600
56,10,14,30,31,33,37,19,4,3777570900
57,7,10,16,25,29,44,6,4,4114411900
58,10,24,25,33,40,44,1,4,3676429200
59,6,29,36,39,41,45,13,4,4127587300
60,2,8,25,36,39,42,11,7,2172504600
61,14,15,19,30,38,43,8,5,3541038800
62,3,8,15,27,29,35,21,1,15817286400
63,3,20,23,36,38,40,5,2,7922245500
64,14,15,18,21,26,36,39,4,3899818000
65,4,25,33,36,40,43,39,4,3727945800
66,2,3,7,17,22,24,45,4,3685138200
67,3,7,10,15,36,38,33,7,2114436500
68,10,12,15,16,26,39,38,5,2945882100
69,5,8,14,15,19,39,35,3,4962712200
70,5,19,22,25,28,43,26,3,5031277800
71,5,9,12,16,29,41,21,0,0
72,2,4,11,17,26,27,1,13,3260524600
73,3,12,18,32,40,43,38,6,2766662100
74,6,15,17,18,35,40,23,3,5284949800
75,2,5,24,32,34,44,28,4,3914616900
76,1,3,15,22,25,37,43,2,7451022600
77,2,18,29,32,43,44,37,3,5155758600
78,10,13,25,29,33,35,38,4,3519850000
79,3,12,24,27,30,32,14,4,3416443800
80,17,18,24,25,26,30,1,1,13809540000
81,5,7,11,13,20,33,6,5,2714288880
82,1,2,3,14,27,42,39,1,14562494400
83,6,10,15,17,19,34,14,2,7086948300
84,16,23,27,34,42,45,11,2,7669779000
85,6,8,13,23,31,36,21,4,3462109800
86,2,12,37,39,41,45,33,1,14252186400
87,4,12,16,23,34,43,26,11,1799358055
88,1,17,20,24,30,41,27,4,3069709650
89,4,26,28,29,33,40,37,3,4248321900
90,17,20,29,35,38,44,10,4,3291435300
91,1,21,24,26,29,42,27,4,3582902400
92,3,14,24,33,35,36,17,11,1233270846
93,6,22,24,36,38,44,19,6,2269178150
94,5,32,34,40,41,45,6,6,2245339950
95,8,17,27,31,34,43,14,8,1747741238
96,1,3,8,21,22,31,20,7,1847133515
97,6,7,14,15,20,36,3,9,1496214000
98,6,9,16,23,24,32,43,4,3177972300
99,1,3,10,27,29,37,11,6,2169219050
100,1,7,11,23,37,42,6,4,3315315525
101,1,3,17,32,35,45,8,5,2707297500
102,17,22,24,26,35,40,42,9,1457153067
103,5,14,15,27,30,45,10,8,1691589563
104,17,32,33,34,42,44,35,2,6610743750
105,8,10,20,34,41,45,28,4,3416781450
106,4,10,12,22,24,33,29,16,810461157
107,1,4,5,6,9,31,17,2,6679927800
108,7,18,22,23,29,44,12,7,1998900772
109,1,5,34,36,42,44,33,12,1246838200
110,7,20,22,23,29,43,1,3,4566262000
111,7,18,31,33,36,40,27,6,2199047450
112,26,29,30,33,41,42,43,9,1567271167
113,4,9,28,33,36,45,26,9,1561528934
114,11,14,19,26,28,41,2,6,2362345050
115,1,2,6,9,25,28,31,9,1488589567
116,2,4,25,31,34,37,17,7,1997747315
117,5,10,22,34,36,44,35,9,1558378334
118,3,4,10,17,19,22,38,10,1297989720
119,3,11,13,14,17,21,38,9,1474899400
120,4,6,10,11,32,37,30,3,4364530300
121,12,28,30,34,38,43,9,2,6839648100
122,1,11,16,17,36,40,8,9,1450073800
123,7,17,18,28,30,45,27,5,2532982680
124,4,16,23,25,29,42,1,9,1395936267
125,2,8,32,33,35,36,18,7,1754870786
126,7,20,22,27,40,43,1,9,1369301500
127,3,5,10,29,32,43,35,6,1965939150
128,12,30,34,36,37,45,39,6,2064043100
129,19,23,25,28,38,42,17,11,1093629655
130,7,19,24,27,42,45,31,4,3036496650
131,8,10,11,14,15,21,37,8,1451214488
132,3,17,23,34,41,45,43,4,2920473525
133,4,7,15,18,23,26,13,8,1450242600
134,3,12,20,23,31,35,43,5,2349155100
135,6,14,22,28,35,39,16,7,1717293515
136,2,16,30,36,41,42,11,6,1997694150
137,7,9,20,25,36,39,15,9,1270403467
138,10,11,27,28,37,39,19,5,2227152000
