매수기준,매수단위,수익확률,평균 수익률,손실 확률,평균 손실률,본전 확률
-0.001,1,0.538235294117647,0.000404114754098,0.45,-0.000400555555556,0.011764705882352941
-0.002,1,0.5882352941176471,0.000337445,0.4,-0.000370036764706,0.011764705882352941
-0.003,1,0.611764705882353,0.000323548076923,0.3764705882352941,-0.0003696015625,0.011764705882352941
-0.004,1,0.6617647058823529,0.000290773333333,0.31470588235294117,-0.000347177570093,0.023529411764705882
-0.005,1,0.5794117647058824,0.000291629441624,0.2676470588235294,-0.000287252747253,0.15294117647058825
-0.006,1,0.5735294117647058,0.000260682051282,0.25,-0.000257305882353,0.17647058823529413
-0.007,1,0.5235294117647059,0.00019693258427,0.18235294117647058,-0.000267322580645,0.29411764705882354
-0.008,1,0.5352941176470588,0.000158620879121,0.17058823529411765,-0.000264482758621,0.29411764705882354
-0.009,1,0.45294117647058824,9.74220779221e-05,0.14705882352941177,-0.0002475,0.4
-0.01,1,0.45588235294117646,9.93677419355e-05,0.14411764705882352,-0.00016306122449,0.4
-0.001,2,0.538235294117647,0.000808229508197,0.45,-0.000801111111111,0.011764705882352941
-0.002,2,0.5882352941176471,0.00067489,0.4,-0.000740073529412,0.011764705882352941
-0.003,2,0.611764705882353,0.000647096153846,0.3764705882352941,-0.000739203125,0.011764705882352941
-0.004,2,0.6617647058823529,0.000581546666667,0.31470588235294117,-0.000694355140187,0.023529411764705882
-0.005,2,0.5794117647058824,0.000583258883249,0.2676470588235294,-0.000574505494505,0.15294117647058825
-0.006,2,0.5735294117647058,0.000521364102564,0.25,-0.000514611764706,0.17647058823529413
-0.007,2,0.5235294117647059,0.000393865168539,0.18235294117647058,-0.00053464516129,0.29411764705882354
-0.008,2,0.5352941176470588,0.000317241758242,0.17058823529411765,-0.000528965517241,0.29411764705882354
-0.009,2,0.45294117647058824,0.000194844155844,0.14705882352941177,-0.000495,0.4
-0.01,2,0.45588235294117646,0.000198735483871,0.14411764705882352,-0.00032612244898,0.4
-0.001,3,0.538235294117647,0.0012123442623,0.45,-0.00120166666667,0.011764705882352941
-0.002,3,0.5882352941176471,0.001012335,0.4,-0.00111011029412,0.011764705882352941
-0.003,3,0.611764705882353,0.000970644230769,0.3764705882352941,-0.0011088046875,0.011764705882352941
-0.004,3,0.6617647058823529,0.00087232,0.31470588235294117,-0.00104153271028,0.023529411764705882
-0.005,3,0.5794117647058824,0.000874888324873,0.2676470588235294,-0.000861758241758,0.15294117647058825
-0.006,3,0.5735294117647058,0.000782046153846,0.25,-0.000771917647059,0.17647058823529413
-0.007,3,0.5235294117647059,0.000590797752809,0.18235294117647058,-0.000801967741935,0.29411764705882354
-0.008,3,0.5352941176470588,0.000475862637363,0.17058823529411765,-0.000793448275862,0.29411764705882354
-0.009,3,0.45294117647058824,0.000292266233766,0.14705882352941177,-0.0007425,0.4
-0.01,3,0.45588235294117646,0.000298103225806,0.14411764705882352,-0.000489183673469,0.4
-0.001,4,0.538235294117647,0.00161645901639,0.45,-0.00160222222222,0.011764705882352941
-0.002,4,0.5882352941176471,0.00134978,0.4,-0.00148014705882,0.011764705882352941
-0.003,4,0.611764705882353,0.00129419230769,0.3764705882352941,-0.00147840625,0.011764705882352941
-0.004,4,0.6617647058823529,0.00116309333333,0.31470588235294117,-0.00138871028037,0.023529411764705882
-0.005,4,0.5794117647058824,0.0011665177665,0.2676470588235294,-0.00114901098901,0.15294117647058825
-0.006,4,0.5735294117647058,0.00104272820513,0.25,-0.00102922352941,0.17647058823529413
-0.007,4,0.5235294117647059,0.000787730337079,0.18235294117647058,-0.00106929032258,0.29411764705882354
-0.008,4,0.5352941176470588,0.000634483516484,0.17058823529411765,-0.00105793103448,0.29411764705882354
-0.009,4,0.45294117647058824,0.000389688311688,0.14705882352941177,-0.00099,0.4
-0.01,4,0.45588235294117646,0.000397470967742,0.14411764705882352,-0.000652244897959,0.4
-0.001,5,0.538235294117647,0.00202057377049,0.45,-0.00200277777778,0.011764705882352941
-0.002,5,0.5882352941176471,0.001687225,0.4,-0.00185018382353,0.011764705882352941
-0.003,5,0.611764705882353,0.00161774038462,0.3764705882352941,-0.0018480078125,0.011764705882352941
-0.004,5,0.6617647058823529,0.00145386666667,0.31470588235294117,-0.00173588785047,0.023529411764705882
-0.005,5,0.5794117647058824,0.00145814720812,0.2676470588235294,-0.00143626373626,0.15294117647058825
-0.006,5,0.5735294117647058,0.00130341025641,0.25,-0.00128652941176,0.17647058823529413
-0.007,5,0.5235294117647059,0.000984662921348,0.18235294117647058,-0.00133661290323,0.29411764705882354
-0.008,5,0.5352941176470588,0.000793104395604,0.17058823529411765,-0.0013224137931,0.29411764705882354
-0.009,5,0.45294117647058824,0.00048711038961,0.14705882352941177,-0.0012375,0.4
-0.01,5,0.45588235294117646,0.000496838709677,0.14411764705882352,-0.000815306122449,0.4
-0.001,6,0.538235294117647,0.00242468852459,0.45,-0.00240333333333,0.011764705882352941
-0.002,6,0.5882352941176471,0.00202467,0.4,-0.00222022058824,0.011764705882352941
-0.003,6,0.611764705882353,0.00194128846154,0.3764705882352941,-0.002217609375,0.011764705882352941
-0.004,6,0.6617647058823529,0.00174464,0.31470588235294117,-0.00208306542056,0.023529411764705882
-0.005,6,0.5794117647058824,0.00174977664975,0.2676470588235294,-0.00172351648352,0.15294117647058825
-0.006,6,0.5735294117647058,0.00156409230769,0.25,-0.00154383529412,0.17647058823529413
-0.007,6,0.5235294117647059,0.00118159550562,0.18235294117647058,-0.00160393548387,0.29411764705882354
