매수기준,매수단위,수익확률,평균 수익률,손실 확률,평균 손실률,본전 확률
-0.001,1,0.38529411764705884,0.00110595419847,0.6058823529411764,-0.00122849514563,0.008823529411764706
-0.002,1,0.4,0.00106441176471,0.5911764705882353,-0.00119094527363,0.008823529411764706
-0.003,1,0.3911764705882353,0.000827218045113,0.6058823529411764,-0.00104684466019,0.0029411764705882353
-0.004,1,0.4117647058823529,0.000837785714286,0.5852941176470589,-0.000933668341709,0.0029411764705882353
-0.005,1,0.4323529411764706,0.000641462585034,0.5647058823529412,-0.000669791666667,0.0029411764705882353
-0.006,1,0.4441176470588235,0.000619006622517,0.5441176470588235,-0.000640297297297,0.011764705882352941
-0.007,1,0.4441176470588235,0.000512847682119,0.5441176470588235,-0.000588783783784,0.011764705882352941
-0.008,1,0.38235294117647056,0.000553615384615,0.5323529411764706,-0.000540165745856,0.08529411764705883
-0.009,1,0.43823529411764706,0.000430637583893,0.3735294117647059,-0.000487362204724,0.18823529411764706
-0.01,1,0.4411764705882353,0.000323133333333,0.34705882352941175,-0.000469872881356,0.21176470588235294
-0.001,2,0.38529411764705884,0.00221190839695,0.6058823529411764,-0.00245699029126,0.008823529411764706
-0.002,2,0.4,0.00212882352941,0.5911764705882353,-0.00238189054726,0.008823529411764706
-0.003,2,0.3911764705882353,0.00165443609023,0.6058823529411764,-0.00209368932039,0.0029411764705882353
-0.004,2,0.4117647058823529,0.00167557142857,0.5852941176470589,-0.00186733668342,0.0029411764705882353
-0.005,2,0.4323529411764706,0.00128292517007,0.5647058823529412,-0.00133958333333,0.0029411764705882353
-0.006,2,0.4441176470588235,0.00123801324503,0.5441176470588235,-0.00128059459459,0.011764705882352941
-0.007,2,0.4441176470588235,0.00102569536424,0.5441176470588235,-0.00117756756757,0.011764705882352941
-0.008,2,0.38235294117647056,0.00110723076923,0.5323529411764706,-0.00108033149171,0.08529411764705883
-0.009,2,0.43823529411764706,0.000861275167785,0.3735294117647059,-0.000974724409449,0.18823529411764706
-0.01,2,0.4411764705882353,0.000646266666667,0.34705882352941175,-0.000939745762712,0.21176470588235294
-0.001,3,0.38529411764705884,0.00331786259542,0.6058823529411764,-0.00368548543689,0.008823529411764706
-0.002,3,0.4,0.00319323529412,0.5911764705882353,-0.0035728358209,0.008823529411764706
-0.003,3,0.3911764705882353,0.00248165413534,0.6058823529411764,-0.00314053398058,0.0029411764705882353
-0.004,3,0.4117647058823529,0.00251335714286,0.5852941176470589,-0.00280100502513,0.0029411764705882353
-0.005,3,0.4323529411764706,0.0019243877551,0.5647058823529412,-0.002009375,0.0029411764705882353
-0.006,3,0.4441176470588235,0.00185701986755,0.5441176470588235,-0.00192089189189,0.011764705882352941
-0.007,3,0.4441176470588235,0.00153854304636,0.5441176470588235,-0.00176635135135,0.011764705882352941
-0.008,3,0.38235294117647056,0.00166084615385,0.5323529411764706,-0.00162049723757,0.08529411764705883
-0.009,3,0.43823529411764706,0.00129191275168,0.3735294117647059,-0.00146208661417,0.18823529411764706
-0.01,3,0.4411764705882353,0.0009694,0.34705882352941175,-0.00140961864407,0.21176470588235294
-0.001,4,0.38529411764705884,0.00442381679389,0.6058823529411764,-0.00491398058252,0.008823529411764706
-0.002,4,0.4,0.00425764705882,0.5911764705882353,-0.00476378109453,0.008823529411764706
-0.003,4,0.3911764705882353,0.00330887218045,0.6058823529411764,-0.00418737864078,0.0029411764705882353
-0.004,4,0.4117647058823529,0.00335114285714,0.5852941176470589,-0.00373467336683,0.0029411764705882353
-0.005,4,0.4323529411764706,0.00256585034014,0.5647058823529412,-0.00267916666667,0.0029411764705882353
-0.006,4,0.4441176470588235,0.00247602649007,0.5441176470588235,-0.00256118918919,0.011764705882352941
-0.007,4,0.4441176470588235,0.00205139072848,0.5441176470588235,-0.00235513513514,0.011764705882352941
-0.008,4,0.38235294117647056,0.00221446153846,0.5323529411764706,-0.00216066298343,0.08529411764705883
-0.009,4,0.43823529411764706,0.00172255033557,0.3735294117647059,-0.0019494488189,0.18823529411764706
-0.01,4,0.4411764705882353,0.00129253333333,0.34705882352941175,-0.00187949152542,0.21176470588235294
-0.001,5,0.38529411764705884,0.00552977099237,0.6058823529411764,-0.00614247572816,0.008823529411764706
-0.002,5,0.4,0.00532205882353,0.5911764705882353,-0.00595472636816,0.008823529411764706
-0.003,5,0.3911764705882353,0.00413609022556,0.6058823529411764,-0.00523422330097,0.0029411764705882353
-0.004,5,0.4117647058823529,0.00418892857143,0.5852941176470589,-0.00466834170854,0.0029411764705882353
-0.005,5,0.4323529411764706,0.00320731292517,0.5647058823529412,-0.00334895833333,0.0029411764705882353
-0.006,5,0.4441176470588235,0.00309503311258,0.5441176470588235,-0.00320148648649,0.011764705882352941
-0.007,5,0.4441176470588235,0.0025642384106,0.5441176470588235,-0.00294391891892,0.011764705882352941
-0.008,5,0.38235294117647056,0.00276807692308,0.5323529411764706,-0.00270082872928,0.08529411764705883
-0.009,5,0.43823529411764706,0.00215318791946,0.3735294117647059,-0.00243681102362,0.18823529411764706
-0.01,5,0.4411764705882353,0.00161566666667,0.34705882352941175,-0.00234936440678,0.21176470588235294
-0.001,6,0.38529411764705884,0.00663572519084,0.6058823529411764,-0.00737097087379,0.008823529411764706
-0.002,6,0.4,0.00638647058824,0.5911764705882353,-0.00714567164179,0.008823529411764706
-0.003,6,0.3911764705882353,0.00496330827068,0.6058823529411764,-0.00628106796117,0.0029411764705882353
-0.004,6,0.4117647058823529,0.00502671428571,0.5852941176470589,-0.00560201005025,0.0029411764705882353
