____,_¡§_¢®¨¡¡Ë_,¡§__¢®¨¡¡Ë_,¢®¨¡_¢®¨¡¡Ë_,__¢®¨¡¡Ë_,¢®¨¡¢®_¢®¢´¡Ë_¢®¢´_
2016-7-1,65800,64500,66100,64400,180211
2016-7-4,65300,65500,65900,64800,78381
2016-7-5,66400,65700,66500,65600,111269
2016-7-6,66100,66100,66500,65600,97250
2016-7-7,66900,66600,67100,65900,90529
2016-7-8,67000,66800,67000,65500,89913
2016-7-11,66600,67300,67300,66400,73562
2016-7-12,65400,66700,66700,65200,135660
2016-7-13,67200,65800,67500,65800,158039
2016-7-14,66900,66900,67100,66500,68495
2016-7-15,68800,67000,68800,66700,214453
2016-7-18,69000,69300,69400,67900,129919
2016-7-19,68400,69200,69200,68400,70417
2016-7-20,67600,68600,68600,67100,96548
2016-7-21,68200,68100,68600,67600,89928
2016-7-22,69200,67800,69300,67600,121533
2016-7-25,68000,69300,69500,67300,97153
2016-7-26,63400,67600,67600,63100,468935
2016-7-27,65500,63200,66300,62300,274019
2016-7-28,64900,66000,66300,64300,74905
2016-7-29,65900,64900,66300,64600,99090
2016-8-1,66600,65900,66900,65100,70984
2016-8-2,65200,66300,66800,63300,156625
2016-8-3,63600,64600,64800,63600,70743
2016-8-4,62900,64000,64400,62900,66002
2016-8-5,62500,63300,63400,61500,134360
2016-8-8,62500,62500,63000,61900,53466
2016-8-9,64800,62400,64800,62100,99655
2016-8-10,63200,64300,64600,62800,94728
2016-8-11,64100,63100,64700,62400,81517
2016-8-12,63000,64900,65000,62600,144869
2016-8-16,63500,62900,63500,62600,97133
2016-8-17,63200,62900,63600,62600,55464
2016-8-18,65500,63000,65600,62700,159649
2016-8-19,64100,65200,65300,63700,77631
2016-8-22,63900,63800,64100,62800,60047
2016-8-23,63600,63300,64300,63300,55507
2016-8-24,62700,63900,64000,62400,70498
2016-8-25,61700,62500,63400,61600,76484
2016-8-26,61600,61500,62300,61100,57279
2016-8-29,59800,61400,62000,59700,85415
2016-8-30,59100,59900,60800,58400,138691
2016-8-31,58600,58700,59400,58100,69119
2016-9-1,58800,59000,59700,57700,96829
2016-9-2,60200,58900,60800,58700,68832
2016-9-5,59600,59900,60400,59600,64355
2016-9-6,59600,59600,60100,59000,49371
2016-9-7,58700,59300,59700,58600,57890
2016-9-8,59100,58700,59200,57600,71768
2016-9-9,58900,59000,59800,58100,42057
2016-9-12,57500,58000,58500,57500,55993
2016-9-13,57400,57800,58300,57300,61169
2016-9-19,57400,57400,58200,57000,50943
2016-9-20,57400,57200,57600,55300,177712
2016-9-21,58000,57400,58100,56600,40785
2016-9-22,59100,58100,59200,57700,73225
2016-9-23,58700,58800,58900,58000,68418
2016-9-26,59700,58700,60200,58300,97724
2016-9-27,58900,59200,59700,58800,67943
2016-9-28,58600,59000,59500,58400,48347
2016-9-29,60400,58200,60800,58200,98192
2016-9-30,59700,60300,60500,59500,46841
2016-10-4,59300,60100,60200,59100,45633
2016-10-5,59300,59200,59800,58700,70234
2016-10-6,58300,59200,59200,57800,116104
2016-10-7,57500,58300,58500,57200,69820
2016-10-10,57500,57400,59000,57000,37104
2016-10-11,58000,57700,58500,57700,242610
2016-10-12,57900,57600,58900,57400,38970
2016-10-13,58300,58000,58500,57400,33923
2016-10-14,57900,57800,58700,57400,59073
2016-10-17,55100,57600,58300,55100,148878
2016-10-18,53600,55000,55100,53300,119494
2016-10-19,53100,54300,54300,53000,85059
2016-10-20,53500,53400,54500,53400,50947
2016-10-21,53300,53600,54000,52400,96034
2016-10-24,52900,53500,53800,52700,45048
2016-10-25,51900,53200,53500,51800,71873
2016-10-26,51100,51500,52100,50500,78519
2016-10-27,52900,50800,53100,50800,61210
2016-10-28,52200,52600,52900,51800,44363
2016-10-31,50200,52200,52200,50000,73873
2016-11-1,49800,49850,50500,49400,91553
2016-11-2,48400,49550,50100,48400,102238
2016-11-3,48750,48200,50500,48200,76437
2016-11-4,48550,48450,49000,48150,43497
2016-11-7,49900,48900,50000,48700,51824
2016-11-8,49350,49900,49950,49100,38042
2016-11-9,48650,49800,51700,48300,159483
2016-11-10,48700,49050,50500,48450,104621
2016-11-11,47600,49000,49050,46950,135821
2016-11-14,47350,47600,48000,46950,82714
2016-11-15,46350,47200,47600,46150,100474
2016-11-16,48200,46400,48200,46400,81968
2016-11-17,47850,48150,48200,47450,56656
2016-11-18,48000,48200,48200,47450,35151
2016-11-21,47550,48050,48400,47400,61561
2016-11-22,46600,47450,48300,45900,146753
2016-11-23,47050,46750,47700,46300,58821
2016-11-24,46900,46850,47500,46800,56397
2016-11-25,48150,46700,48250,46700,52865
2016-11-28,47450,48300,48300,47150,57499
2016-11-29,47000,47700,48000,46700,60252
2016-11-30,46750,47000,47500,46550,67541
2016-12-1,46100,47000,47000,46000,60086
2016-12-2,47400,46100,47400,45600,87906
2016-12-5,45800,47200,47200,45600,94105
2016-12-6,46150,45900,46250,45900,1329
