날짜,거래유형,종목코드,종목명,거래가격,거래량
2000-04-26,buy,000120,CJ대한통운,5950,1680
2000-05-09,sell,000120,CJ대한통운,6570,1680
2000-05-18,buy,000120,CJ대한통운,4530,2437
2000-05-19,sell,000120,CJ대한통운,5000,2437
2000-05-22,buy,000120,CJ대한통운,3945,3089
2000-05-25,sell,000120,CJ대한통운,4360,3089
2000-10-30,buy,000120,CJ대한통운,3550,3794
2001-01-22,sell,000120,CJ대한통운,2200,3794
2001-04-20,buy,000120,CJ대한통운,1400,5962
2001-04-24,sell,000120,CJ대한통운,1550,5962
2001-04-26,buy,000120,CJ대한통운,1380,6696
2001-05-14,sell,000120,CJ대한통운,1530,6696
2003-03-05,buy,000120,CJ대한통운,7400,1384
2003-04-11,sell,000120,CJ대한통운,8170,1384
2008-10-24,buy,000120,CJ대한통운,85900,131
2008-11-25,sell,000120,CJ대한통운,94800,131
2008-12-02,buy,000120,CJ대한통운,82300,151
2008-12-05,sell,000120,CJ대한통운,84900,151
2009-05-18,buy,000120,CJ대한통운,75600,170
2009-05-22,sell,000120,CJ대한통운,83500,170
2009-07-13,buy,000120,CJ대한통운,74900,189
2009-10-01,sell,000120,CJ대한통운,70100,189
2009-10-26,buy,000120,CJ대한통운,68600,193
2010-01-22,sell,000120,CJ대한통운,59000,193
2011-10-04,buy,000120,CJ대한통운,62100,184
2011-10-10,sell,000120,CJ대한통운,68600,184
2013-10-16,buy,000120,CJ대한통운,89200,141
2013-12-26,sell,000120,CJ대한통운,98500,141
2016-12-01,buy,000120,CJ대한통운,178000,78
2016-12-14,sell,000120,CJ대한통운,182500,78
2016-12-26,buy,000120,CJ대한통운,177000,80
2012-07-12,buy,139480,이마트,235000,42
2012-07-31,sell,139480,이마트,260000,42
2012-10-15,buy,139480,이마트,226000,48
2012-12-21,sell,139480,이마트,236000,48
2013-03-04,buy,139480,이마트,216000,53
2013-05-30,sell,139480,이마트,200000,53
2013-06-07,buy,139480,이마트,189000,56
2013-07-08,sell,139480,이마트,209000,56
2014-10-02,buy,139480,이마트,219000,53
2014-12-02,sell,139480,이마트,224500,53
2015-12-09,buy,139480,이마트,196500,61
2016-03-14,sell,139480,이마트,179000,61
2016-08-19,buy,139480,이마트,157000,70
2016-11-09,sell,139480,이마트,174000,70
2007-09-21,buy,086790,하나금융지주,41650,240
