DATE,Target,Close_HankookTire(-1),Close_HankookTire(-2),Close_UHAN(-1),Close_UHAN(-2),Close_KIA(-1),Close_KIA(-2),Close_SKHynix(-1),Close_SKHynix(-2),Close_HDConstruct(-1),Close_HDConstruct(-2),Close_SSInsurance(-1),Close_SSInsurance(-2),Close_HDsteel(-1),Close_HDsteel(-2),Close_HDMotors(-1),Close_HDMotors(-2),Close_POSCO(-1),Close_POSCO(-2),Close_SSElectronics(-1),Close_SSElectronics(-2),Close_SSSDI(-1),Close_SSSDI(-2),Close_SSElectric(-1),Close_SSElectric(-2),Close_HDHeavy(-1),Close_HDHeavy(-2),Close_LotteChemical(-1),Close_LotteChemical(-2),Close_HDMobis(-1),Close_HDMobis(-2),Close_SKTelecom(-1),Close_SKTelecom(-2),Close_SSCNT(-1),Close_SSCNT(-2),Close_SSLife(-1),Close_SSLife(-2),Close_LGD(-1),Close_LGD(-2),Close_Naver(-1),Close_Naver(-2),Close_KAKAO(-1),Close_KAKAO(-2),Close_LGChem(-1),Close_LGChem(-2),Close_ShinhanHolding(-1),Close_ShinhanHolding(-2),Close_LGElectronics(-1),Close_LGElectronics(-2),Close_Celtrion(-1),Close_Celtrion(-2),Close_HDGlovis(-1),Close_HDGlovis(-2),Close_AmorePacific(-1),Close_AmorePacific(-2),Close_SKInnovation(-1),Close_SKInnovation(-2),Close_KBFinance(-1),Close_KBFinance(-2),Close_EMart(-1),Close_EMart(-2)
2016.2.26,94100,52900,52100,272500,267000,47050,47500,30800,30900,37850,38250,296500,295000,55100,55700,147000,149000,200500,202000,1179000,1172000,97500,99000,57000,58400,105000,106000,309500,307000,260000,266500,225000,228500,153000,152000,113000,112000,23500,24050,582000,580000,94500,95000,297000,295500,39000,39300,63400,63500,99000,100100,194000,197500,369500,355000,145500,147500,29850,30250,168500,164000
2016.2.29,94900,52000,52900,263000,272500,47100,47050,30800,30800,38000,37850,296500,296500,55000,55100,147000,147000,195500,200500,1172000,1179000,99000,97500,54700,57000,106500,105000,311000,309500,257000,260000,227500,225000,157000,153000,112500,113000,24450,23500,580000,582000,94100,94500,293500,297000,38850,39000,63700,63400,100000,99000,194500,194000,371000,369500,145000,145500,30000,29850,169500,168500
2016.3.2,97400,53400,52000,258500,263000,46100,47100,30000,30800,38000,38000,303000,296500,55600,55000,147500,147000,198500,195500,1178000,1172000,99900,99000,54200,54700,103000,106500,319500,311000,249000,257000,233500,227500,154500,157000,112000,112500,24500,24450,572000,580000,94900,94100,300000,293500,37950,38850,64900,63700,100000,100000,192500,194500,367500,371000,145000,145000,29700,30000,176000,169500
2016.3.3,101500,52600,53400,265000,258500,47400,46100,30950,30000,39400,38000,310500,303000,56900,55600,150000,147500,211500,198500,1197000,1178000,101000,99900,54200,54200,105500,103000,331000,319500,251000,249000,223000,233500,154500,154500,112000,112000,24850,24500,609000,572000,97400,94900,312000,300000,38300,37950,64800,64900,107200,100000,192500,192500,377500,367500,148500,145000,30200,29700,173500,176000
2016.3.4,103800,52300,52600,282500,265000,47950,47400,31950,30950,40900,39400,306000,310500,56700,56900,147500,150000,213500,211500,1220000,1197000,99400,101000,55800,54200,110000,105500,316500,331000,254000,251000,220000,223000,154500,154500,113000,112000,24250,24850,610000,609000,101500,97400,308000,312000,38650,38300,63500,64800,110000,107200,193000,192500,377500,377500,150500,148500,30800,30200,170500,173500
2016.3.7,105900,52000,52300,280000,282500,47100,47950,31900,31950,40150,40900,306000,306000,56900,56700,147500,147500,217500,213500,1215000,1220000,97400,99400,56100,55800,115000,110000,313500,316500,251500,254000,216500,220000,154000,154500,113500,113000,24000,24250,613000,610000,103800,101500,298000,308000,39150,38650,62700,63500,108300,110000,192000,193000,379000,377500,149500,150500,31800,30800,174500,170500
2016.3.8,106200,51800,52000,276000,280000,47300,47100,31900,31900,40600,40150,313000,306000,57200,56900,146500,147500,217500,217500,1223000,1215000,99600,97400,56200,56100,118500,115000,316000,313500,254000,251500,212000,216500,152500,154000,113000,113500,23800,24000,599000,613000,105900,103800,299500,298000,39800,39150,62800,62700,103100,108300,191500,192000,371500,379000,156500,149500,32150,31800,177000,174500
2016.3.9,107800,52900,51800,276500,276000,47250,47300,30500,31900,40600,40600,313500,313000,57700,57200,148000,146500,222000,217500,1192000,1223000,99800,99600,55700,56200,118500,118500,316000,316000,250000,254000,212000,212000,150000,152500,115000,113000,24700,23800,604000,599000,106200,105900,298000,299500,40000,39800,63400,62800,103200,103100,192500,191500,358500,371500,153500,156500,31750,32150,175000,177000
2016.3.10,110100,53100,52900,279000,276500,48950,47250,30550,30500,40450,40600,306000,313500,56500,57700,149500,148000,214500,222000,1194000,1192000,99900,99800,56300,55700,117500,118500,310000,316000,252500,250000,214500,212000,151000,150000,114500,115000,24200,24700,608000,604000,107800,106200,296000,298000,40050,40000,62500,63400,101600,103200,191500,192500,357000,358500,150500,153500,31900,31750,175000,175000
2016.3.11,111200,53400,53100,282000,279000,47900,48950,30300,30550,40850,40450,307000,306000,56900,56500,148000,149500,218500,214500,1225000,1194000,101000,99900,57400,56300,119000,117500,321000,310000,253500,252500,214500,214500,147500,151000,112000,114500,24500,24200,635000,608000,110100,107800,295000,296000,40100,40050,62400,62500,106000,101600,190500,191500,366500,357000,155500,150500,31950,31900,172500,175000
2016.3.14,112600,51400,53400,277000,282000,47900,47900,30700,30300,40050,40850,297500,307000,57200,56900,149000,148000,218500,218500,1249000,1225000,100000,101000,59100,57400,116500,119000,315500,321000,253000,253500,218500,214500,150500,147500,108500,112000,25000,24500,636000,635000,111200,110100,296500,295000,40750,40100,62700,62400,105000,106000,187500,190500,357500,366500,154500,155500,32300,31950,180000,172500
2016.3.15,111400,52100,51400,280500,277000,48700,47900,30350,30700,39850,40050,307000,297500,55800,57200,148500,149000,209000,218500,1255000,1249000,98800,100000,58000,59100,115000,116500,326500,315500,249000,253000,215000,218500,149000,150500,114000,108500,24700,25000,635000,636000,112600,111200,303500,296500,41150,40750,62700,62700,106000,105000,186000,187500,367000,357500,157000,154500,32750,32300,179000,180000
2016.3.16,109600,51100,52100,275500,280500,47150,48700,29900,30350,39850,39850,300000,307000,55100,55800,147000,148500,210000,209000,1253000,1255000,98200,98800,57700,58000,115000,115000,320000,326500,247500,249000,215500,215000,149500,149000,114000,114000,25000,24700,641000,635000,111400,112600,302000,303500,40800,41150,60900,62700,105600,106000,189000,186000,376000,367000,158000,157000,32300,32750,178500,179000
2016.3.17,112300,51300,51100,285500,275500,47500,47150,29200,29900,36300,39850,304000,300000,53300,55100,146500,147000,203000,210000,1256000,1253000,98300,98200,57900,57700,108000,115000,309500,320000,247500,247500,218000,215500,148500,149500,115500,114000,24500,25000,640000,641000,109600,111400,307000,302000,41350,40800,61900,60900,107500,105600,187000,189000,390500,376000,155500,158000,32650,32300,181000,178500
2016.3.18,112200,54200,51300,280500,285500,47550,47500,29250,29200,37650,36300,303000,304000,55800,53300,146500,146500,212000,203000,1263000,1256000,99500,98300,60100,57900,108500,108000,325500,309500,247500,247500,218000,218000,149000,148500,116000,115500,24700,24500,636000,640000,112300,109600,314000,307000,41600,41350,62800,61900,107000,107500,187000,187000,390500,390500,162000,155500,32400,32650,186000,181000
2016.3.21,109700,54100,54200,283000,280500,47600,47550,29450,29250,38450,37650,298500,303000,56900,55800,150500,146500,216000,212000,1273000,1263000,99900,99500,59700,60100,111500,108500,324000,325500,248000,247500,214500,218000,147000,149000,112000,116000,24650,24700,639000,636000,112200,112300,314000,314000,41750,41600,63100,62800,108400,107000,185500,187000,394000,390500,160000,162000,32800,32400,188000,186000
2016.3.22,109500,54900,54100,278500,283000,48900,47600,29550,29450,38200,38450,300000,298500,57000,56900,154500,150500,212500,216000,1267000,1273000,103500,99900,60300,59700,107000,111500,328500,324000,251500,248000,213500,214500,145500,147000,113000,112000,25050,24650,642000,639000,109700,112200,313500,314000,41900,41750,62300,63100,107900,108400,185000,185500,388500,394000,163000,160000,32700,32800,183000,188000
2016.3.23,106600,54500,54900,275000,278500,50800,48900,30200,29550,39800,38200,293500,300000,56400,57000,159000,154500,212500,212500,1269000,1267000,105500,103500,59300,60300,109500,107000,320000,328500,260000,251500,211000,213500,146500,145500,115000,113000,26400,25050,649000,642000,109500,109700,313500,313500,41600,41900,63000,62300,107900,107900,195500,185000,381000,388500,163000,163000,32800,32700,180000,183000
2016.3.24,107000,53900,54500,275000,275000,49800,50800,30250,30200,39750,39800,299500,293500,56100,56400,158000,159000,214500,212500,1279000,1269000,103000,105500,58800,59300,108000,109500,320500,320000,255500,260000,210000,211000,145500,146500,114500,115000,26950,26400,634000,649000,106600,109500,310000,313500,41350,41600,64000,63000,107200,107900,193000,195500,381500,381000,160500,163000,32700,32800,180500,180000
2016.3.25,102700,53400,53900,271000,275000,49550,49800,29450,30250,40000,39750,297500,299500,55200,56100,155500,158000,209000,214500,1282000,1279000,102000,103000,57500,58800,105000,108000,325500,320500,250500,255500,210000,210000,144000,145500,113500,114500,26500,26950,624000,634000,107000,106600,318500,310000,41550,41350,62500,64000,106200,107200,193000,193000,388000,381500,160500,160500,32100,32700,179500,180500
2016.3.28,100800,53300,53400,277500,271000,49300,49550,29150,29450,40300,40000,295500,297500,55200,55200,153000,155500,209500,209000,1288000,1282000,100500,102000,56000,57500,103000,105000,339000,325500,249500,250500,207500,210000,143000,144000,116000,113500,25550,26500,613000,624000,102700,107000,323000,318500,41300,41550,61500,62500,106500,106200,192000,193000,392500,388000,161500,160500,31750,32100,178000,179500
2016.3.29,100400,56300,53300,277000,277500,48900,49300,28550,29150,40900,40300,297500,295500,55600,55200,154000,153000,210500,209500,1294000,1288000,100000,100500,56000,56000,105500,103000,344000,339000,248500,249500,210500,207500,145000,143000,116000,116000,24950,25550,617000,613000,100800,102700,319500,323000,41100,41300,61800,61500,105500,106500,191000,192000,387000,392500,162000,161500,32000,31750,175000,178000
2016.3.30,100100,56300,56300,274500,277000,50000,48900,28900,28550,40750,40900,297000,297500,56400,55600,155000,154000,215000,210500,1290000,1294000,100500,100000,56000,56000,107500,105500,346500,344000,250000,248500,211500,210500,145000,145000,114500,116000,25700,24950,640000,617000,100400,100800,323500,319500,41250,41100,61800,61800,109500,105500,193000,191000,386000,387000,166000,162000,32350,32000,178000,175000
2016.3.31,99200,56700,56300,275500,274500,49250,50000,28650,28900,42100,40750,293500,297000,56300,56400,155500,155000,219500,215000,1308000,1290000,99400,100500,59000,56000,107000,107500,349500,346500,250000,250000,209500,211500,144000,145000,115000,114500,26550,25700,637000,640000,100100,100400,331000,323500,40500,41250,62800,61800,109700,109500,195000,193000,388000,386000,170000,166000,31850,32350,173500,178000
2016.4.1,101800,54400,56700,280500,275500,48300,49250,28150,28650,42150,42100,295000,293500,55500,56300,152500,155500,219500,219500,1312000,1308000,99000,99400,58800,59000,106500,107000,341500,349500,249000,250000,208500,209500,143000,144000,117500,115000,26600,26550,637000,637000,99200,100100,327500,331000,40500,40500,61600,62800,109800,109700,188500,195000,386500,388000,172000,170000,31850,31850,175500,173500
2016.4.4,99300,52500,54400,281000,280500,47050,48300,28200,28150,40250,42150,290500,295000,54700,55500,149500,152500,213500,219500,1279000,1312000,97700,99000,56200,58800,104500,106500,336000,341500,239000,249000,210000,208500,140000,143000,117000,117500,26350,26600,628000,637000,101800,99200,317500,327500,39900,40500,60900,61600,114400,109800,186000,188500,390000,386500,168500,172000,32150,31850,172500,175500
